Titel,Replacement,Typ,Anzahl
"Nouvelles d’Antoine-François Grazzini, dit le Lasca",,,1
Novella Orientale.,,,1
Novelle Morali,,,2
Nozze di Dorina,,,1
Nuovo Segreto,Nuovo Segreto,,6
Nuovo Segreto per,Nuovo Segreto,,1
Nuovo Testamento,,,1
Nuovo segreto,,,2
O Imitatores,,,1
"Observations sur la société, et sur les moyens de ramener l’ordre et la sécurité dans son sein",,,1
Od,,,1
Od.,,,5
Ode,,,2
"Ode au Créateur de l’Univers, à l’occasion des Fragmens
                                    d’Orpheé.",,,1
Ode du Jubilé,,,1
Ode sur la Prise de Namur,,,1
Odes Anacréontiques,,,1
Odes Pindariques,,,1
Odes sacrées,,,1
Odes à la glace,,,1
Odissea,Odissea,,5
"Odissea, X.",Odissea,,1
Odissée,Odissea,,1
Odyssée,Odissea,,3
Oedipe,,,2
Oeuv. posth.,,,1
Off.,,,1
Omelie,,,1
Oraison funebre de Torsac,,,1
Orat.,,,2
Oratore,,,2
Orazioni,,,1
Oreste,,,1
Orfano della Cina,,,1
Orlando,,,1
Orléans Délivré,,,1
Oroonoko,,,1
Orphée,,,1
Osservatore,,,1
Ossian,,,1
Otaiti,,,1
Othello,,,2
Padre Amoroso,,,1
Pamela,,,1
Pane,,,1
Panurge,,,2
"Par., canto XI.",,,1
"Paradis
                                perdu",Paradis Perdu,,1
Paradis Perdu,Paradis Perdu,,2
Paradis perdu,Paradis Perdu,,2
Paradiso,,,1
Paraiso,,,1
"Parallele des
                                        Anciens & des Modernes",,,1
Paraphrase sur l’Histoire de Susanne,,,1
Parc de Newgate,,,1
Parfait Maquignon,,,1
Pasagonzalo,Pasagonzalo,,9
Pasagonzalos,Pasagonzalo,,1
Pastor Fido,Pastor Fido,,1
Pastor fido,Pastor Fido,,1
Pazza per amore,,,1
Penelope,,,1
Pensador,,,1
Pensadora,,,3
Pensadoras,,,1
Pensées,,,1
Pensées Philosophiques,,,1
Pensées de Sénèque,,,1
"Pensées divers. sur les
                                        Cometes",,,1
Pensées ingenieuses de ceux qui sont morts en plaisantant,,,1
"Pensées ingénieuses
                                des Peres de l’Eglise",,,1
Pharamond,,,1
Pharsale,,,2
Phaëton,,,1
Philaster,,,1
"Philaster, ou l’Amour saignant",,,1
Philosophe Nouvelliste,,,1
Philosophia Naturalis Principia Mathematica,,,3
Phèdre,Phèdre,,1
Phédre,Phèdre,,5
Phœnix,,,1
"Pindare aux
                                    Enfers",,,1
Pintura,,,2
"Pièces choisies de
                                    nos meilleurs Poëtes",,,1
Plaintes de Melpomene,,,1
"Pleyto de Hernán Cortés, con Pánfilo de
Narvaez",,,1
Pluralité des Mondes,,,1
Polyanthea,,,1
Pomone,,,1
Pompe Funèbre,,,1
Postillon du soir,,,1
Pourceaugniac,,,1
"Poëme de la
                                Chartreuse",,,1
Poëme de la Religion,,,2
Poëme sur la Loi Naturelle,,,1
Poëme sur le désastre de Lisbonne,,,1
Principe,,,1
Principes de la Foi,,,1
Prometeo,,,1
Prop. lib. 2,,,1
Prophetes Modernes,,,1
Prophetiae Evangelicae ac mors Isajae,,,1
Prov. 19,,,1
Proverbios morales.,,,1
Provotz d’husband,,,1
"Précieuses
                                Ridicules",,,1
Précieuses ridicules,,,1
Pucelle,,,2
Pucelle d’Orléans,,,1
"Purg., c. X.",Purgatorio,,1
Purgatorio,Purgatorio,,1
Purgatorio. Canto III.,Purgatorio,,1
Père de Famille,,,1
"Quattro Elegantissime Egloghe Rusticali, ora la prima volta poste insieme, e con diligenza stampate",,,1
Quinte-Curce,,,1
Quintessence,Quintessence,,2
Quintessences,Quintessence,,1
Quixote,Don Quichotte,,5
Ragionamento sopra i mezzi per far rifiorire l’Agricoltura,,,1
Raisons pour dissuader les Gens d’aller à la Comedie,,,1
Rappresentazione,,,1
Recettes de la Comtesse,,,1
Recherche de la Verité,,,1
Reconciliacion,,,1
Recueil des Poësies Morales & Chrétiennes,,,1
Recueil des meilleures Pièces de Poësie,,,1
Regañon,,,21
Regañon general,,,3
Regia Parnassi,,,1
Reine Enchanteresse,,,1
"Religio
         Medici",Religio Medici,,1
Religio Medici,Religio Medici,,1
Religion du Medecin,Religio Medici,,1
Rem. Amo.,,,1
Revolutions de Suède,,,1
Rhadamiste,,,1
Riccardo Terzo,,,1
Riccio rapito,,,1
Rim. Bur.,Rim. Bur.,,1
Rime Burl.,Rim. Bur.,,1
Rodogune,,,1
Rolands,,,1
Roman Comique,,,2
Romeo & de Suliet,,,1
Romulus,,,2
Roy Lear,,,1
Roy du Pont,,,1
Rud.,,,1
Rudimentos Chronologicos,,,1
Ruf.,,,1
Rules and orders of the Society established at London for the encouragement of arts manufactures and Commerce,,,1
Réfléxions desintéressées,,,1
Régles pour l’observation du Carême,,,1
Réligion du Laique,,,1
Répétition,,,1
S. 6.,,,1
S. Marco,,,1
SS. Escrituras,,,2
Saffo,,,1
Saggi Cap. xxxiv.,,,1
Saggio sopra l’Uomo,,,1
Saggio sull’Uomo,,,1
Sagra Scrittura,Bibel,,2
"Sagrada
                                        Escritura",Bibel,,1
Sagrada Escritura,Bibel,,3
Saint Loüis,,,1
"Samson
                                    Aconiste’s",,,1
"Sancho Ortíz de
                                        las Roelas",,,1
"Sancho Ortíz de las
                                        Roelas",,,1
Sat,Sat.,,3
Sat.,Sat.,,9
Sat. VI.,Sat.,,1
Sat. X lib. I.,Sat.,,1
"Sat., I.",Sat.,,1
"Sat., X.",Sat.,,1
Satyre de l’Honneur ,,,1
Sav.,,,1
Sayr.,,,1
Scapin,,,1
Scuola delle donne,,,1
Scuole d’Atene,,,1
Secchia rapita,,,1
Segreto Nuovo,,,1
"Semanario de
Salamanca",,,1
Semanario de agricultura,,,1
Semiramide,,,1
Sermoni,,,1
Serse,,,1
Sigismond & de Guiscard,,,1
Socrate moderne,,,1
Sofia,,,1
Somn. Scip.,,,1
Sonetto,,,2
Sopha,,,1
Sophonisbe,,,1
Sorcier,,,1
Sot vengé,,,1
Spectacle de la Nature,,,2
Spectateur,Spectateur,,16
Spectateur ,Spectateur,,1
Spectateur Anglais,Spectateur Anglais,,5
Spectateur Anglois,Spectateur Anglais,,12
Spectateur Français,Spectateur Français,,2
Spectateur François,Spectateur Français,,3
Spectateur anglais,Spectateur Anglais,,1
Spectateur femelle,Spectatrice,,1
Spectateur français,Spectateur Français,,1
Spectatrice,Spectatrice,,1
Spectatrice Danoise,,,2
Spettatore,Spectateur,,2
Spettatore Inglese,Spectateur Anglais,,2
Spettatore Italiano-Piemontese,,,1
Sposa in Lutto,,,1
St. Barthelemi,,,1
Storia Critica della Filosofia,,,1
Storia Ecclesiastica,,,1
Storia Ecclesiastica di Monsignor Antonio Godeau Vescovo e Signor di Vence,,,1
"Storia della vita, e della morte",,,1
Storia vera,,,1
Studi della natura,,,1
Syrene,,,1
Systême de la Nature,Systême de la Nature,,3
Systême de la nature,Systême de la Nature,,1
Sémiramis,,,1
Séthos,,,1
Sévarambes,,,1
"Tablas
                                Alfonsinas",,,1
Talmud,,,1
"Tanzaî & Néadarné, ou l’Ecumoire",,,1
Tariffa delle Gabelle toscane,,,1
Tartuf,,,1
Tauride,,,1
Te Deum,,,3
Tebaide,,,2
Telémaco,,,1
Temi Veneta,,,1
Tempore Julii Cæsaris,,,1
The Examiner,,,1
The History of England during the Reigns of the Royal house of Stuart &c.,,,1
The London cronicle,,,1
The Medly,,,1
The Spirit of Massoney,,,1
Theagene & de Cariclée,,,1
Thebaide,,,1
Theodore,,,1
Théodose,,,1
Théologie Physique,,,1
Théorie de la Terre,Théorie de la Terre,,1
Théorie de la terre,Théorie de la Terre,,1
Thétis & Pélée,,,1
Tiranno,,,1
Tirst.,,,1
Titiada,,,1
"Titres
                                            dʼhonneur",,,1
Tout céde a l’Amour,,,1
Traité de Droit Naturel,,,1
Traité de la Manie,,,1
Traité de la Religion Chrétienne,,,1
Traité de l’Amitié,,,2
Traité de l’Education,,,1
Traité des Opinions,,,1
Traité du Droit Public de l’Europe,,,1
Tratt. del Gov. della Fam.,,,1
"Tribunal
                                        Catoniano",,,1
Tribunal Catoniano,,,1
Trionfo di Bacco,,,1
Trist.,,,1
Trist. Lib. 3.,,,1
Troadi,,,1
Tusch. quest.,,,1
Tuscul. lib. V,,,1
Tyeste,,,1
Télémaque,,,8
Un curioso accidente,,,1
Una Travesura,,,1
Valmont,,,1
Vangelo,,,1
"Variӕ
                                Lectiones",,,1
"Vas y
                                voir",,,1
Vecchio,,,1
Veglie piacevoli,,,1
"Vendanges de
                                Surenne",,,1
Venere,,,1
Venezia Liberata,,,1
Vera Storia,,,3
Versi Virgiliani,,,1
Vert-vert,,,1
Vervet,,,1
Viaggi del Gulliver,,,1
Viaggio sotterraneo del Klimio,,,1
"Viajante
                                        desconocido",Viajante desconocido,,1
Viajante desconocido,Viajante desconocido,,1
Viajero universal,,,1
Virgines Prudentes et Fatuae,Virgines Prudentes et Fatuae,,1
"Virgines prudentes, & fatue",Virgines Prudentes et Fatuae,,1
Virtù ricompensata,,,1
Vita di Marianna,,,1
Vita d’Arlotto Mainardi Piovano di S. Cresci,,,1
Vitto pitagorico,,,1
Vocazione allo Stato Ecclesiastico,,,1
Voglio appartenenti all’economia di villa,,,1
Voyage par le Monde de Des Cartes,,,1
Voyages du Chevalier Chardin,,,1
Vulgata,,,1
Werther,,,1
Zadig,,,1
Zaida,Zaida,,1
Zaira,,,2
Zarlino,,,1
Zaïde,Zaida,,1
Zaïre,,,2
Zeloso,,,1
Zoroastro,,,1
Zoroastro Re de’Battriani,,,2
Zulica,,,2
Zénéïde,,,1
ad Pisones,,,1
alexandre le grand,,,1
alla Zaira,,,1
amusemens de la campagne ou le défi spirituel,,,1
aureng-Zeb,,,1
biblioteca periódica de ciencias y artes,,,1
canaux navigables,,,1
chap. I. Art. I.,,,1
chap.I. art. I.,,,1
coutume de Beauvoisis,,,1
de Art. Poet.,,,2
de Art. poet.,,,1
de Consideratione,,,1
de Medicina Brasiliensi,,,1
de Mor. Ger.,,,1
"de Off. I. 2, c. 18",,,1
de Offic.,,,1
de art. Poët.,,,1
de la Consolation de la Philosophie,,,1
de off.,,,1
"del
                                        Gusto del dia",,,1
del Baron,,,1
del Discreto,,,1
"del Gran Cerco de
                                        Viena",,,1
del Médico por fuerza,,,1
della Tariffa delle Gabelle toscane,,,1
della coltura e potatura [99,,,1
dello Spirito,,,1
"dicha
                                    Gazeta",,,1
dictionnaire encyclopédique,,,1
digression sur les Anciens & les Modernes,,,1
discours sur la liberté de penser,,,1
dissert. crit.,,,1
du Renard & du Buste,,,1
"el
                                        Gusto del dia",,,2
"el
                                        Pasagonzalo",Pasagonzalo,,1
"el
Memorial literario",,,1
"el
Viage á Grecia",,,1
el Café,,,2
el Califa,,,1
el Chismoso,,,1
"el Gusto del
                                        dia",,,1
el Gusto del dia,,,2
"el Hechizado
                                        por fuerza",,,1
el Marinerito,,,1
el Mercurio,,,1
el Padre nuestro,,,1
el Pasagonzalo,Pasagonzalo,,1
el Plutus,,,1
el Regañon,el Regañon,,8
"el Regañon
                                        general",el Regañon,,1
el Regañon general,el Regañon,,2
"el Regañon general, ó Tribunal
                                        Catoniano",el Regañon,,2
"el Zeloso
confundido",,,1
ep.,,,3
ep. LXVIII,,,1
ep. VI.,,,1
epist.,,,1
epist. XIV. lib. I.,,,1
foglio Economico,,,1
folle sageße,,,1
giocondi uomini Toscani,,,1
gli Uccelli,,,1
histoire naturelle ,historia natural,,1
historia natural,historia natural,,1
il Cane di Diogenes,,,2
il Demofonte,,,1
il Messia,,,1
in Nub.,,,1
journal politique de Bouillon,,,1
"la
                                                Béatitude Chrétienne",,,1
"la
                                            Orgullosa",,,1
"la
                                        Andria",,,1
"la
                                        Estrella de Sevilla",,,1
"la
                                        Misantropía",,,1
"la
                                        Mogigata",,,1
"la
                                        Muger zelosa",,,1
"la
                                    B",,,1
"la
                                    Bagatelle",Bagatelle,,3
"la
                                    Bagetelle",Bagatelle,,1
"la
                                    Gazeta",Gazzetta,,1
"la
                                    Titiada",,,1
"la
                                Bagatelle",Bagatelle,,6
"la
                                Franciade",,,1
"la
                                Gazette",Gazzetta,,2
"la
                                Magdelaine au Désert de la Sainte-Baume en Provence",,,1
"la
Esposa delinqüente",,,1
"la
Familia árabe",,,1
"la
Misantropía",Misantrope,,1
la Andria,,,1
la Araucana,,,2
la Bagatelle,Bagatelle,,11
la Bagatelle ,Bagatelle,,1
"la Bataille de
                            Porus",,,1
la Bibliothèque des Dames,,,1
la Boucle des cheveux enlevée,,,1
la Buscona,,,1
la Casa Nuova,,,1
la Casualidad á media noche,,,1
la Chûte de Tarquin,,,1
la Cinquantaine,,,1
la Comtesse de Vergi,,,2
la Eneida,Aeneis,,1
la Estrella de Sevilla,Estrella de Sevilla,,1
la Fable des Abeilles,,,1
la Force de l’Amour,,,1
la Gazeta,Gazzetta,,2
"la Gazeta de
                                    Bayona de Francia",,,1
"la Gazeta de
                                    Comercio, Literatura y Política",,,1
la Gazeta de Bayona,,,1
"la Gazeta de Bayona de
                                    Francia",,,1
la Gazette,Gazzetta,,2
la Henriade,,,4
la Jerusalem délivrée,la Jérusalem délivrée,,1
la Jérusalem délivrée,la Jérusalem délivrée,,1
la Ligue,,,1
la Lugareña orgullosa,la Lugareña orgullosa,,1
la Lugareña orgulloso,la Lugareña orgullosa,,1
"la Mentira
                                        generosa",,,1
la Misantropia,Misantrope,,1
la Misantropía,Misantrope,,2
la Morale Chrétienne,,,4
la Morte d’Adamo,,,1
la Moza de Cántaro,,,1
"la Muerte
                                        de Abel",la Muerte de Abel,,1
la Muerte de Abel,la Muerte de Abel,,1
la Pensadora,,,1
la Pensadora Gaditana,,,1
la Pharmacopée,,,1
la Pierre Philosophale des Dames,,,1
la Princesse de Monpensier,,,1
la Pucelle,,,1
la Quintessence,Quintessence,,1
la Religion,la Religion,,2
la Religion prouvée par les faits,,,1
la Ruine d’annibal,,,1
la Réligion,la Religion,,1
la Sagesse de Salomon,,,1
la Sofía,,,1
la Spectatrice,,,2
la Tempête,,,1
la bouche de fer,,,1
la bucólica,,,1
"la fausseté des Vertus
                                    Humaines",,,1
la femme silencieuse,,,1
la forest de Windsor,,,1
la gazette d’Hollande,,,1
la mort de César,,,1
la nouvelle Encyclopédie,,,1
la pucelle,,,1
lanternes magiques,,,1
"las
                                        Nubes",,,1
"las
                                    églogas",,,1
las Nubes,,,1
"le
                                        Miroir",,,1
"le
                                    Comte Essex",,,1
"le
                                Misantrope",Misantrope,,2
"le
                                XLV. Misantrope",Misantrope,,1
le Bourreau de soi-même,,,1
le Bourru Bienfaisant,,,1
"le Calcul de
                                    Jouvence",,,1
le Censeur,,,1
le Chevalier du Pilon brûlant,,,1
le Cid,,,1
le Colonel mécontent,,,1
le Comedien,,,1
le Courtizan,,,1
"le Discours de la
                                                Verité",,,1
le Doїen de Killérine,,,1
le Fils naturel,,,1
le Gardien,,,2
"le Grand
                                Cirus",,,1
le Jazeur,,,1
le Joueur,,,2
le Journal Encyclopédique,,,1
le Journal des Sçavans,,,1
le Jubilé,,,2
"le Livre de
                                    Job",,,1
le Mendiant de la Cour,,,1
le Mentor Moderne,,,2
le Mentor moderne,,,1
le Mercure,,,1
le Mercure Galant,,,1
le Misantrope,Misantrope,,3
le Monde,Monde,,3
le Monde comme il est,Monde,,3
le Médecin malgré lui,,,1
le Paradis perdu,,,1
le Parfait Ambassadeur,,,1
le Postillon,,,1
le Pourceau a perdu sa perle,,,1
le Renard,,,1
le Socrate Moderne,,,1
le Specateur Anglois,Spectateur Anglais,,1
le Spectateur,Spectateur,,10
le Spectateur Anglois,Spectateur Anglais,,1
le Spectateur François,Spectateur Français,,1
le Spectateur français,Spectateur Français,,1
le Systême de la Nature,le Systême de la Nature,,1
le Vol d’une Boucle de Cheveux,le Vol d’une Boucle de Cheveux,,1
le Vol d’une boucle de cheveux,le Vol d’une Boucle de Cheveux,,1
le carnaval du Parnasse,,,1
le dernier coup de Pinceau,,,1
le droit & l’obligation de penser librement,,,1
le fragment de Tite-Live,,,1
le parfait Capitaine,,,1
"le pot à bierre de Hans, ou la Comédie invisible de vous me voyez & vous ne me voyez pas",,,1
le secret de la Cour,,,1
le siecle de Louis XIV,,,1
le systême de la nature,le Systême de la Nature,,1
"les
                                            Fácheux",,,1
"les
                                Avantures de Telémaque",,,1
"les
                                Avantures de Télémaque",,,1
les Bijoux indiscrèts,,,1
les Caracteres,,,1
les Caractéres & Mœurs de ce Siécle,,,1
les Chiffons,,,3
"les Chiffons, ou Mélange de Raison & de Folie",,,1
les Cocus de Londres,,,1
les Contes Arabes,,,1
les Francs-Maçons écrasés,,,1
les Lettres Persannes,,,1
les Loix de Crête,,,1
"les Poëtes
                                Modernes",,,1
les Provincales,,,1
les Précieuses,,,1
les Revolutions de Pologne,,,1
les Révolutions d’Espagne,,,1
les Scavantes,,,1
les Souhaits,,,1
les Traitez Secrets & les Négociations du Maréchal,,,1
les facheux,,,1
les fêtes vénitiennes,,,1
les indes galantes,,,1
les nouvelles Litteraires,,,1
les quatre P,,,1
les quatre P.,,,1
lettere Persiane,,,1
lib XI. c. 2,,,1
lib. 2 in Ruf,,,1
"lib. 21, cap. I.",,,1
lib. I.,,,1
lib. I. cap. 3,,,1
lib. II.,,,1
lib. III. c. 65,,,1
lib. III. ch. 8,,,1
"lib. IV, c. 3.",,,1
lib. IV.,,,1
lib. VI.,,,1
lib. VII.,,,1
"lib. XV, ch. 5, del’Esclavage dei Nègres",,,1
lib. x. cap. 50,,,1
lliada,,,1
"los Eruditos á la
                                        violeta",,,1
l’Almanach ou Manach de la St Jean,,,1
l’Almanach ou du Manach de Liége,,,1
l’Ame des Bètes,,,1
l’Ami du peuple,,,1
"l’Amour fait tout faire, ou, la perte au Monde bien
                                    placée",,,1
l’Amour produit l’Amour,,,1
l’Année Littéraire,,,1
l’Apollon Anglois,,,1
l’Arcadie,,,1
l’Arithmetique,,,1
l’Art Poétique,l’Art Poétique,,2
l’Art poétique,l’Art Poétique,,2
l’Association des Idées,,,1
l’Astrée,,,1
l’Avare Amoureux,,,1
l’Ecriture Sainte,,,1
l’Ecumoire,,,1
"l’Education des
                                Enfans",,,1
"l’Education des Gens de
                                qualité",,,1
l’Eloquence du tems,l’Eloquence du tems,,1
l’Eloquence du tems par Mr...de l’Académie Françoise,l’Eloquence du tems,,1
"l’Enlevement de
                                        Proserpine",,,1
l’Esame dell’Esame,,,1
l’Esprit des Loix,,,7
l’Eunuque,,,1
l’Europe galante,,,1
l’Habitant de la Guadeloupe,,,1
l’Histoire,,,1
"l’Histoire
                                    naturelle du Comté de Strafford",,,1
"l’Histoire de D. Juan de Portugal, fils de D. Pedre & d’Inès de Castro",,,1
"l’Histoire naturelle
                                    du Comté de Stafford",,,1
l’Homme Machine,,,3
l’Iliade,,,1
l’Inquisiteur,,,1
l’Institution de la Religion Chrêtienne,,,1
"l’Isle
                                            enchantée",,,1
l’Isle des Goulus,,,1
l’Observateur littéraire,,,1
l’Oceana,,,1
l’Officier qui fait ses recrues,,,1
"l’Opera de Pyrrhus & de
                                Demetrius",,,1
l’Oracle,,,1
l’Orator Romano,,,1
l’Orpheline,,,1
l’Unzione del real profeta Davidde,,,1
l’Utopie,,,1
l’art Poëtique,,,1
l’art d’aimer,,,1
"l’avancement du
                                        Savoir",,,1
l’histoire du Roi Edgar,,,1
l’homme universel,,,1
l’égalité des deux Sexes,,,1
l’éleve de Terpsicore,,,1
mi Chismoso,,,1
nouveau Spectateur,,,2
nouveau systême de la nature,nouveau systême à la nature,,1
nouveau systême à la nature,nouveau systême à la nature,,1
od.,,,2
ode sur la Mort,,,1
ovvero vite de’più bizzarri,,,1
"p. I., s. 208.",,,1
pensées de Cicéron,,,1
poema de la Música,,,1
pro Arch.,,,1
proverbios,,,4
recherches Philosophiques sur la Liberté de Penser,,,1
reflexions sur le savoir,,,1
sat,Sat.,,1
sat.,Sat.,,6
spectateur,Spectateur,,2
spectateur Anglois,Spectateur Anglais,,1
spectateur anglois,Spectateur Anglais,,1
"su
                                        Regañon",,,1
su comedia chismosa,,,1
sur la Priere,,,1
sur le Baptême des petits Enfans,,,1
sur l’Apocalypse,,,1
sus bucólicas,,,1
système de la nature,,,1
systême de la nature,,,1
the unhapy Orphan,,,1
"un monde fou, mes Maitres",,,1
un’Opera in versi in lode del Voltaire,,,1
voyage d’Italie,,,1
Æn.,,,1
"Æn., V.",,,1
Æne,,,1
Æne.,,,1
Æneid,Aeneis,,1
Æneid.,Aeneis,,1
Æneï.,Aeneis,,1
Æneïd,Aeneis,,1
Ænid.,Aeneis,,1
Églé,,,2
Œdipe,,,4
Œdipe à Colone,,,1
Œuvres mêlées,,,1
Ӕneïde,Aeneis,,1
